text,label
almak isteyenlere tavsiye ederim. ömürlük bir ürün...,Positive
 büyük iskender hayatımda seyrettiğim kalitesiz yapımlardan boşuna yapılmıs zaman kaybı bir film diğer tarihi flimleri kıyaslarsak truva cennetin kralığı daha iyi yapıtlar ,Negative
i̇yi ışık veriyor,Positive
" Film nasıl bir komedi anlamadım, beklentilerimi kesinlikle karşılamadı. ",Negative
Onun ziyaretine yalnızca bir asker arkadaşı gelmektedir .,Notr
malzemesi çok kaliteli. prize yatay olarak takılabildiği için tercihimdi,Positive
ama sonra farkettimdi ki musluk bağlantısını tam sıkamamışım. ,Positive
kampanya dahilinde ücretsiz olarak elde ettiğim bu ürünü kullanmak gerçekten güzel. diş minelerini onardığı söyleniyor. ancak bu konu hakkında kesin bir şey söyleyemem. zira o tarz bir sorunum yok veya varsa da ben bilmiyorum. diş hekimi arkadaşlarıma sordum tavsiye ettiler,Positive
"bence altın almak isteyipte,alamayanlar;bu siteyi tercih etmeli;kredi kartı ile kıyafet  onu bunu alacağıma altın alamayı tercih etttim.",Positive
uzun zamandır notlarımı düzenlemek ıcın klasor almayı düşünüyordum.hepsıburadada uygun fıyata bulunca kacırmadan aldım. kalitesi fıyatının cok üstünde alanlar memnun kalacaktır,Positive
Yüzyılın başlarında geçmektedir .,Notr
kılıf çok kötü zaten fiyatındanda belli sakın paranızı boşa harcamayın..,Negative
"hızlı kargo için teşekkürler, fiyat oldukça uygun. buraya bakmadan artık bez almam, teşekkürler hb",Positive
"ürün çok küçük ve şık. usb 2.0 olduğunu bilerek aldım. usb 3.0larda format, boot işlerinle sorun yaşanıyor. kargo ücretsiz olması güzel.",Positive
benTefal FV-9640 Autoclean ütüyü 2 yıl önce aldim şu anda kireçten dolayı düzgün buhar vermiyor yani kullanamıyorum.bilginize ayrıca ütü çok ağır insanı yoruyor .,Negative
kağıdın kalitesi düşük. sanırım bu üründen bir daha sipariş vermem.,Negative
 tam anlamıyla yumurta tadında bir film.. isteyen tavadan isteyen rafadan yesin..bir buçuk saat sonunda filmin bittigine kesinlikle inanamadık.. dialogların neredeyse hiç olmadıgı bu filmden açıkçası hiç bişe anlamadık.. ama siz yinede ben anlarım sanat adamıyım diyorsanız size iyi seyirler.. ,Negative
İlçeye ulaşım günde bir defa otobüs ile gerçekleştirilmektedir .,Notr
gelir gelmez hemen koridora iki duvar arasına sıkıitırdım vidalamaya falan gerek yok ama isteyen vidalayabilirde ben vidalamadım gerçekten şahane bi şey ,Positive
arkadaslar urunu yaklasik 2 aydir kullaniyorum. oncelikle herkesin merak ettigi sarj konusuna deginicem. iste calistigim icin mesai saatlerinde cok aktif kullanamasamda 4g acik halde 1 gunu rahat cikartio. ancak telefonu aktif olarak kullanan gunumuz gencleri icin sikinti yaratabilir 1 gunu goremeyebilirsiniz. telefonda oyun oynamadigim icin hicbir isinma ile karsilasmadim. yani sinirsiz video da izleseniz bi isinma yapmiyor. performansi gayet guzel ve yeterli. kamerasi ve ses sistemi sinifinin bir numarasi diyebilirim. fiyatina gore gercekten iyi bir telefon. alicak olanlarin telefonu aktif kullanma ve sarj konusunu goz onunde bulundurup karar vermesini tavsiye ederim,Positive
"siparişim ertesi gün elime ulaştı. fiyat, kalite oranı gayet iyi. kağıt filtrelerle gönderilen bisküviler satıcının müşteriye karşı nezaketini gösteriyor. teşekkürler.",Positive
Fırat Üniversitesi Devlet Mühendislik Mimarlık Akademisi İnşaat Mühendisliği Bölümü mezunudur .,Notr
 bana göre cok sacma ve gereksiz bir film.tarzım değil.bunu izliyecegne sezen aksunun cd sini al onu dinle aynı olay yane. ,Negative
ürünün sakal kesme performansının ortalamanın çok altında olduğunu söyleyemeyeceğim; en kötü yanı enerji tüketimi. fişe takılı durumdayken bile 20 dakikalık kullanımdan sonra şarjı bitiyor. eğer fişe takılı değilse üzerindeki pil ancak 10 dakikalık performanslı kullanıma izin veriyor.,Negative
Zira dışarı çıktığı anda bacağından vurulur .,Notr
Ayrıca çello ve keman gibi daha ağır bir akustik enstrüman kullanımı vardır .,Notr
