text,label
"kilit içten çelik örgülü, bükülerek kullanılabiliyor. iki anahtarıyla beraber geliyor. ne  çok ince ne çok kalın bir kilit, güvenle kullanıyorum. teşekkürler.",Positive
tamam ürün fiyatı çok ucuz ama o fiyatı dahi etmez. tabiki ürünü çöpe atmadık kullanıyoruz ama dediğim gibi alınacak bir ürün değilmiş.,Negative
bu ikinci otomatik fırçam. i̇lki de oral-b idi. bu fırçaları kullandıktan sonra normal fırça kullanamazsınız. yalnız bu modelin 30sn de uyarı vermesini sevmedim.,Positive
" acıkcası filmi hic begenmedim...sadece baskın sahnesi guzel ayrıca 135 milyon dolara cok kral bi savas filmi cekilebilirdi...ya da bu filmin basına steven spielberg gibi bi ustayı koysalar 135 milyon dolara nasıl bi savas filmi cekerdi acaba...dedigim gibi yalnızca baskın sahnesi guzel onun dısında koca bir sıfır...zaten filmin baslarında o kadar sıkılıyosunuz ki ask muhabbetinden entrikalardan bu bile yetiyor filmden sogumanıza...bence izlemeye degmeyen ve de 5 para etmeyen japon dusmanı bir film...japonyaya attıkları 2 tane atom bombasının niye hic sozunu etmiyolar acaba ama baskalarını filmlerinde vahsi, barbar olarak gostermesini cok iyi biliyorlar... ",Negative
1-ürünün özellikleri olağanüstü ,Positive
"Sorularımız yanıtlanmıyor bilgi alamıyoruz 2 gün 1 gün bekleyen sorular
var biraz daha önem !",Negative
hayatımda bu kadar kötü otel görmedimotele acentenin tavsiyesi ile gittik günlüğü  liradan kaldık ve  hafta boyunca aç gezdik otel çok pis yemekler özensiz ve tadları iğrenç rusların gelir düzeyi düşük olanları kalıyor ve otelde sürekli bağırış çağırış  animasyon olarak şemmammi mircan eşliğinde otelde çalışan garsonları işini bırakıp sahnede oynamaları cabası  herşey dahil sistemde otelde barları takip etmeniz lazım hepsinin saati farklı ortasından yol geçen iki binanın arasında cebelleşiyırsunuz  herşey şaka gibi  burada oteli harika bulanlarında neyi beğendiğini anlamış değilim aynı dönemde bizimle birlikte giden tüm tatilcilerin şikayetleri şuan sitelerde geziyor  lütfen kendinize zehir etmeyin bu arada otel bir kaç yıl önce el değiştirmiş önceki otel yorumları sizi aldatmasın  burnunuzdan gelmesin tatiliniz,Negative
ürünü bir ay oldu alalı. çok güzel bir yatak. beklentilerimi karşılayan bir yatak oldu.fiyatı da uygun. alamk isteyenlere tavsiye ederim.,Positive
" büyük bir hayalkırıklığı ile ayrıldım, olay kendi tarihimiz ama baştan sona filme giremiyorsunuz, hasan karakteri ve aşkı çok yapay geldi , kendi aralarındaki konuşmaları sanki iki akademisyenin konuşmaları, hele iki kumandanın savaş yerinde karşılaştırılması çok feci idi, her yönü ile gösterme çabası gereksizdi bence belkide lağımcıların yönünden daha güzel bir senaryo ile anlatılabilirdi...hele filmin son sahnesi isyan ettirecek boyutta, fatih'in ayasofya ya girisi , ülkesi alınmış bir halkın 2 dakika da yüzlerinin gülmesi , fatih'in kız cocugunu kucağına alması gereksizdi.....para olarak yaklaşmak filme hak vermek ise anlayamacağım birşey görselliği savaş sahnelerini eleştiren pek fazla değil...diğer yönlerinde para ile alakası yok sanırım ",Negative
"iphone 6s tek kelimeyle harika bir telefon, ",Positive
boşuna 2 kayı paralara başka markalar almayın ürün cok super bır urun  sesı cok ıyı kaliteli ve şarjlı yanınızda tasıyabılırsınız,Positive
" Konu olarak güzel bir filme benziyordu başlarda ama filmin anlatımı çok berbattı.Kafa karıştırmaktan başka hiçbişey yapmadılar.5 arkadaş izledik bu filmi izledikten sonra allak bullak oldu kafamız.Bunu izleyeceğinize johny deep’in Cehennemden Gelen filmini izleyin derim,bu film onun yanında benim gözümde bir hiç ",Negative
 İmdb puanıyla o kadar zıt bir puanı var ki bir an bizim puana güvendim ama film gerçekten cok kötü.İstediği kadar oynayanlar dans etsin ve bunda başarılı olsun ama bu bir film.Buna konu da lazım 2/10 ,Negative
"speaker almaya karar verdigimde çok fazla araştırma yaptım. hatta alırken tereddutlerim de vardı, ama cihaz gerçekten çok başarılı,kesinlikle tavsiye ederim.",Positive
Güzel,Positive
"aşırı dandik bir ürün, hemen deliniyor, bir yıl bile kullanamadım. ve 1 ay kadarda kokusu gitmiyor. 7-8 ay kadar kullanacaksanız ve bir ay lastik kokusuna katlanırım diyorsanız alın.",Negative
koca yalanlartatilden anlamayan ve cevap bile verilmeye değmeyecek bir insan olduğunuz her halinizden belli ben ordaki tatilimden sonra maciglife kemere geçtim ve her sene tatile çıkar ve iyi yerlere giderim anlamadığın şey bu oteli tercih ederken yorumlara kanmam yani senin gibi insanları kandırıcı yorumlardır bu otelde her gün tavuklu bezelye yemeği çıkarıyorlar öğlen yine tavuk tavuktavuk bunu göremeyecek veya buraya yalan yorum yazacak kadar anlayışınız kıt olamaz ister  defa git ister  defa ama buraya yalan yanlış yazma ve insanları kandırma istersen yüz yüze görüşüpte tartışabiliriz kim turizmden anlıyor kim anlamıyor sevgili tatil severler hayatınızda hiç otele gitmeyip ilk tatilinizse size bu otel iyi gelebilir ama daha önce başka yerleri deneyip tatilin ne demek olduğunu biliyorsanız bu otel berbat hatta berbat ötesi bu yorumlara kanmayın onlar otel çalışanları yada yakınları sizleri bilgilendirmek tek amacım,Negative
kesinlikle rezalet   lütfen okuyunbiz kız arkadaşımla mika tur (tatil budur) aracılığı ile bu otelden yer ayırttık ancak otele gittiğimiz andan itibaren pişman olduk yemekler çok kötü hergün aynı çeşitleri karıştırıp önünüze sunuyorlar heryer pislik içerisinde beş yıldızın tekini bile haketmiyorlar güya elemanları toplu istifa vermiş ancak otel yönetimi bu konuda hiçbir şey yapmadı ve bizim bir haftalık tatilimiz rezil oldu dahası eleman olmadığından kendi masamızı kendimiz sildik çatal bıçak yada bardak bulmak için restoranı talan ettik bardaklar pis ve temiz karışık kontrol bile edilmiyor masaların üzerindeki yemek artıkları saatlerce durduğu halde kimse gelip kaldırmıyo sinekler böcekler havada uçuşuyo havlularımızı değiştirmeleri için  gün biz uyardık havuzlar berbat dipleri görünmüyo renk değiştirmekten çamurlu terliklerle terden su gibi olmuş kıyafetleri ile havuz başında gezen elemanlar görebilirsiniz ayrıca otelde turistler istedikleri gibi davranabiliyorlar gece turistlerin içip içip rahatsız ettiklerini ve güvenliğin hiçbir şey yapmadığını ayrıca mika turunda hiç ilgilenmediğini söyleyebilirim otelin güvenliği zaten başlı başına bir bela sizinle kavga edip üstünüze yürürse şaşırmayın bunuda yaşadık tatilimizi tamamlamadan otelden kaçtık  kesinlikle gidip tatilinizi zehir etmeyin derim,Negative
iki adet aldım. birinin üzerinde kırmızı nakışla türkiye yazı vardı. i̇lk gördüğümde hoşuma gitmese bile montaj yaptım. güzel durdu. astra g direksiyonu için iki ucu bir araya getirirken baya germek gerekiyor. germe sırasında birkaç defa kılıfını üzerindeki dikişler yerinden çıktı. diğer kılıfı 2004 model corolla ya taktım. corolla nın direksiyonu astra ya göre biraz daha ince olduğundan daha rahat gerdirdim. corolla da dikişlerde kopma olmadı.,Positive
 bu filmden sakının diyorum başka da birşey demiyorum resmen verilen paraya yazıktır yani bu ikioyuncu nasıl bu kadar sıkıcı bir filmde oyamışlar hayret doğrusu. filmde sürekli konuşma sahneleri var ve çoğu da boş ve anlamsız öyle laf olsun diye konuşup duruyorlar. filmi sürekli ileri sararak izledim ve bir daha da asla izlemem çok gereksiz bir film... ,Negative
ürünü aldıktan sonra fiyatı değişmiş :),Positive
tabloların ölçüleri küçük sayılmaz. 30 cm yükseklik x 20 cm genişlik ebatlarında. bu yüzden bu 5 liyi ayırmadan   resimdeki gibi bir yere uygularsanız güzel oluyor. ben resimde görünen şeklin biraz daha araları açık olacak şekilde uyguladım ve güzel oldu. çalışma odamda güzel durdu. beğendim. ayrıca baskıları kaliteli.şüpheniz olmasın. tavvsiye ederim.,Positive
"bu şeffaf kutular ile ayakkabıları bulmak çok kolay,kutular arasında savaş vermekten kurtuluyorum. ayrıca dolapta şık duruyor, kullanışlı, herkese öneririm.",Positive
" ne tür bir film olduğunu anlamadım! yada ne anlatmaya çalıştığını... yorum yok, vakit kaybı... ",Negative
çok memnun kaldım bu ikinci ürünüm tavsiye ederim,Positive
ılk defa netten bı koku satın aldım.normalde böyle şeyler denenmeden alınmaz degıl mı.ama bu parfumu iş yerımdekı butun arkadaslarım cok begendı.iyikıde almışım.kalıcı kokuları cok severım.buda gayet kalıcı ve bırısıyle konusurken buram buram kokusu gıdıyormuş karsı tarafa.kesınlıkle tereddut etmeden alın.hele şişesı bır harıka.pahalı olmasaydı 100 ml alırdım .ben gunde 5 kez sıkmama ragmen bır ay da anca bitti.,Positive
 tek kelimeyle saçma. ,Negative
 Yaratığı başalılı buldum nede olsa sadece onun için 2 ay ugrasılmıs.filimin ismi olmamıs bence daha guzel bi isim koyulabılırdı.beklıyıp gorucez ,Negative
böyle bir fiyata bu ürün bence çok çok iyi. kargo elime baya hızlı ulaştı ürünü kullanırken de hiç bir sıkıntı yaşamadım. gerçek bir sanal gerçeklik deneyimi yaşamak istiyorsanız tavsiye ederim.,Positive
bu fiyata iyi bile bence alabilirsinz,Positive
ürün fena değil tam anahtarlığa göre yer kaplamıyor varlığı fark edilmeyecek kadar küçük diyebilirim ancak yazma hızı biraz düşük,Positive
kokusu fena değil ama esmer tenli olmama rağmen bende kalıcılığı 2 3 saat sürdü alacaklar çokta büyük bir beklenti içinde olmamalı işin en iyi yanı siparişin 1 gün sonra gelmesi,Negative
kullanişli ve güzel ürün. herkese öneri̇li̇r. ,Positive
boşuna almayın  calismiyor,Negative
 Bu bölümün objektifliğinden şüphe etmeye başladım. Filmi izledim ve hiç beğenmedim. Gerçek bir örümcek adam hayranı olarak sadece kahramanın hatrına gidilebilecek bir film. Serinin 1. ve 2. filmleri gayet güzeldi. Fakat 3. bölümde senaryo diye bir şeyden söz etmek imkansızdı. Neredeyse sinemada uyuyacaktım. Bence milyon dolarlık bir fiyasko olmuş. Bir film sadece görsel efektlerden oluşmaz. Senaryosu iyi olmayab dijital efektlerle süslenmiş bir film ancak ve ancak bilgisayar oyunu demosu olabilir. Hiç ama hiç beğenmedim. ,Negative
Çok çok kötü dönerken ses çıkarıyor,Negative
Mut’un içinde rampanın ortasına kırmızı ışık diken mühendisin mi ne boksa onun anasını sikim.,Negative
"memnun kalmadım. pek işe yaramıyor. çok güçlü mıknatısı var, çift cam olduğu halde sıkı sıkı yapışıyor birbirine, lakin hareket ettiği anda düşüyor.",Negative
11 aylık kızıma aldık. geldiği dakikadan beri hiç inmiyor. indirmek isteyince ağlıyor. acayip sevdi ve ayakları çok güçlendi. üstelik göründüğünden çok daha şık ve sağlam. ,Positive
otele gittigimiz ilk gun bize ayrilan odanin dolu oldugunu sonraki gun bosalacagini  buyuk bir odalarinin bos oldugunu ancak buraya gelecek kisilerin oldugunu bu yuzden burayi bize veremeyeklerini bu odalar disinda en dusuk standartlardaki ekonomik oda diye isimlendirilen bir odanin bos oldugunu ve bir geceligine burada   tl ye kalabilecegimizi soylediler biz ekonomik odayi gordukten sonra buranin cok kucuk oldugunu ve bu odada kalmak istemedigimiz soyledik bunun uzerine yakindaki baska bir oteldeki bir odayi gormemizi ve begenirsek o odada yine   tl ucretle kalabilecegimizi soylediler diger oteldeki odayi begendik ve burada bir gece kaldik kumkapı konagı hotel bu ilk gece icin bizden   tl aldı ancak diger otele  tl odedi yani  lirasini cebe indirdi ayrica sonraki iki gunun ucretini de pesinen aldi  sonraki gun kumkapi konagi hotel e giris yaptigimizda bize verilen odanin rezerve ettgimiz odadan daha dusuk ozelliklerde bir oda oldugunu gorduk bunu soyledigimizde ise rezerve ettgimiz odanin o oldugunu bizim bahsettigimiz odanın uc kisilik oldugunu ve iki kisiye veremeyeceklerini istersek baska bir otel bulabilecegimizi ve odedimiz ucreti geri verebileceklerini soylediler bunun uzerine hemen cikip baska bir otel bulup bu otelden de iki gun icin odedigimiz   lirayi geri aldik bunun  tl sini nakit   tl sini kredi kartina geri odeme seklinde aldik aradan bir hafta gecmesina ragmen kredi kartima geri odeme yansimadi iki ya da uc kez oteli bununla ilgili arayip iade ile ilgili durumu anlattim ve hesaplarini kontrol edip edemeyeceklerini sordum ancak bugun yarin deyip oyalayarak bana hicbir sekilde geri donus yapmadilar en sonunda bankaya verdigim bir dilekce ile islemi takip ettirmeye basladim ve parami geri almaya calisiyorum bu otele ilgili booking sitelerinde yapilan yorumlara bakinca bu olayin cok sik yasanan bir sey oldugunu gordum anladigim kadariyla bir oda icin birden fazla rezervasyon yapip gunu geldiginde kim daha fazla para veriyorsa ona odayi veriyorlar ve bir cok kisiyi de magdur ediyorlar zaten booking sitelerinden de bakarsaniz bu otelle ilgili benzer yorumlari gorursunuz ben rezervasyon yaptirmadan once okumus olmayı dilerdim  otelde hic kalamadigimiz icin iyi bir yani var mi bilemiyorum sanirim tek iyi yani sultanahmet civarında gorulebilecek bir cok yere yakin olmasi ama tabiki daha iyi olan bir cok otel vardir onlara bakmanizi tavsiye derim,Negative
4 kedi̇m var tuvalet temi̇zlemekten biktiğimiz i̇çi̇n bu,Negative
kutuyu actigimda iki top kagittan birinin kagit ambalaji yirtik idi. kargodan kaynaklansa iki topda da hasar olurdu diye dusunuyorum. ambalaj yirtildigi icin kagitlarin kenarlarinda kivrilmalar olusmus. tekrar gondermeyle de ugrasamiycam.,Negative
uzak durun. 12 yıllık internetten alışveriş yaparım. alıp kullanamadığım tek ürün. çöpe attım.,Negative
" Ben hiçbir zaman bu filme sakın gitmeyin demem ama bu malım film için o cümleyi kullanabilirim. Bir iki güzel yüz görmek için bile çekilmeyecek bir eziyet. Ortada ne senaryo var, ne yönetmenlik nede oyunculuk var.(Penolepe Cruz hariç)Filme sonuna kadar zor dayandım Allah tan kısa bir film. Kimseye tavsiye etmiyorum. ",Negative
"eşimin dogum gününde hediye aldım çok etkileyici ve kalıcı bir kokusu var,kış ayları için ideal bir kooku, kalıcı koku arayanlara tavsiye ederim",Positive
kaliteli  son derece kullanışlı bir ürün,Positive
" Cuma sabahı çıkar çıkmaz gittim.. Kitabı da 2 sene önce bir solukta okumuştum. Kitaba göre özellikle başında değişiklikler yapılmış. victoria karakterinin normalde Cernde yaşanan olayla alakalı intikam hissinide yansıtması gerekiyordu, dramatizasyona büyük katkı sağlardı; hatta bu Robert ile aralarındaki özel ilişkininde ateşleyicilerinden biriydi, filmde buna değinilmemiş. Fakat hinede filmin sonunda aksiyona kapılıp gidiyorsunuz ve hepimizinde kendini sorgulamasına sebeb olacak kadar derin bir içeriğe sahip bu filmde bitti dediğinde yerde büyük bir süpriz ile karşılaşarak hırsların ve mutassıbbiyetin, insanı inançtan bile daha çok hapsettiğini görüyorsunuz. Kesin gidin ama tavsiyem önce kitabı kitabı okuyun tersi sarmaz.. ",Positive
"Ürünü amazzondan aldım fakat stokta kalmadı diye anlaşmaları gereği dualpazar satıcısından göndermişler. Harddiski kutunun altına koyup, üzerine de bir yığın kağıt koymuşlar. Halbuki araya bi yere koysalardı sorun olmazdı bence. Kutunun alt kısmında kargocuların bütün fantezik hareketlerine karşı kendini koruyamayan harddisk malesef ki çalışmadı. Sisteme taktım, diski başlatma adımını dahi atlayamadım. Başka programla denedim, direk ""bad disk"" olarak görünüyor. Windows hata kodu veriyor. Araştırdım, donanm hatası olarak görünüyor. Hasıl-ı kelam ürünü çok araştırarak bunda karar kılmıştım. En büyük artısı benim için 256 MB ön belleğe saip olması. Muadillerinde 64MB'tan yukarısı yok. Harddisk belki on numara fakat ben deneyemeden direk geri göndermek zorunda kaldım. Alacak olanların bilgisine...",Negative
"çocuk odasına 2 pencer ve 1kapı için aldım. dün akşam montajını yaptım.. ürün renkleri inanılmaz canlı.. almadan önce resimde mi böyle, gelen ürün farklı olurmu diyordum.. ama gelen ürün gayet güzel.. sadece alttaki etek kısmı mor değil beyaz geldi ve böyle daha şık oldu :)) sipariş sürecindeki katkılardan dolayı özdemi̇rler hali ya ve hb ya çok teşekür ederim..",Positive
 Hem snoop dog da mı var'Bu ne ya sanki usta bir aktörden bahsediliyor.Herkes kendine gelsin sinema bu biraz saygı lütfen! ,Negative
simbo klasiklerinden fiyatının hakkını vermiş tebrikler,Negative
"bu ürünü perşembe günü aldım. 4 gün oldu halen ulaşmadı.halen ürün tedarik sürecinde görünüyor.müşteri hizmetlerine yazdım,oda bana klasik bir cevap vermiş.1-7 gün arası diyor..teslimat çok geç.bu hepsiburadadan son alışverişimdir..",Negative
"ambalajı çok kaliteli, ürünü elime aldım, normal şarjlardan ağır ve kaliteli duruyor..",Positive
" Senaryosu o kadar kötü ki , neden , niçin gibi sorular sormanıza izin vermiyor. Hele bir finali var insan gerçekten rezalet kelimesini kullanırken rahatlıyor ",Negative
"incelemelerim ve sizin yorumlarınız sayesinde ürünün az önce siparişini verdim umarım braunun diğer ürünleri gibidir :) ısı derecesi ve saçı kırmama özellikleri çok hoşuma gitti, saç rengini koruması da diğer bir avantajı , almayı düşünenler varsa bu yorumlar sayesinde alabilirler....",Positive
" izlemeseniz bişey kaybetmezsiniz,sıkıcıydı. ",Negative
" merhabalar bence gitmeden önce bir kez düşünün önceki filmleri indiana jonesun bence gelmiş geçmiş en güzel filmlerdendir ancak bu sefer hiç begenmedim biraz zorlama ile yapılmış ,amerikan tarzı mesajlar veren, indiana jones oglu tarzı bir isimle karşınıza yeniden gelecegiz tarzı bir film bence. saygılar ",Negative
benim 3 üncü paketimi alıyorum 2 yaşında alman çoban köpegim severek ve iştahla yiyor. tüylerinde ve kokusunda herhangi bir sıkıntı yok.,Positive
berbat bayram sabah giriş yaptım otele ama hayal kırıklıgı başta tur opartörü basit ve elinde iş gelmiyor ailemle beraber geldim  yetişkin bir  yaşında kızımla oda verdiler ama  kişilik degil  yaşındaki kızıma seyyar yatak getirdiler  yıldızlı otel bu    sauna hamam gidim dedim pislikten geçilmiyor bu kadar ilgisiz ve sorumsuz bir durumla karşılaştım otele girince insanın içi daralıyor tatil hevesi falan kalmıyor çalışanları müşterileri dövecek gibi bide yeni otel yapmışlar adamlarla aynı parayı veriyosun kerez gibi onlar yeni odada kalıyor sen eski odada eski odadan bahsetmemek elde değil sanki  yıldızlı otel odası gibi banyo yine içler acısı gördüğüm anda şoka uğradım yani anlayacağınız insan bildiği otelden şaşmamalı iki kuruş fazla verin psikolojiniz bozulmasın,Negative
Hizmet olarak fiyat olarak uygundu.,Positive
"elime dandik bir şey geçecek sandım. yanılmışım. titreşimi çok güçlü. gerçi made in p.r.c (çin) yazıyor, bilmem uzun vadede elimde kalır mı ama hor kullanmazsanız bir şey olmaz gibi duruyor. 5 günde ulaştı elime... masajı yarım saatten fazla sürdürmemenizde fayda var; ısınıyor. sırtınızın orta bölgelerine yapmak için bir asistana ihtiyaç duyacaksınız, oraya kadar ulaşmıyor çünkü sapı kısa :) onun haricinde her bölgeye kendiniz yapabiliyorsunuz. tavsiye ederim. pişman değilim aldığıma.",Positive
Maalesef hamur yoğurma kabına çırpma teli ulasmiyor bu yüzden hiç memnun kalmadim,Negative
ürün güzel paketinde geldi ama dönüştürücü yollanmamış yani şarj aleti hiç bir işe yaramıyor lan.  bide notların şarj ömrü daha uzun beklerken bütün gün i̇nterneti kapalı olmasına rağmen 1 gün sürmüyor bitmesi. yeni telefonun daha uzun gitmeli diye düşünüyorum  ,Positive
" D@bbe ne yazık ki özgün ve orjinal olmaktan tamamen yoksun bir film.Filmin yönetmeni-senaristi Hasan Karacadağ Uzakdoğu'da bu işin eğitimini almış.Aldığı belli olsa gerek çünkü bu film Güneykore korku sinemasının başarılı örneklerinden çalıntılarla dolu.Tamamiyle araklanmış bir konu ve araklanmış bir senaryo ile karşımıza çıkıyor.Peki D@bbe hangi filmlerin izlerini taşıyor.Konu zaten Güneykore yapımı Kairo'nun tıpatıp aynısı.Sahneler bile neredeyse aynı.Bizimkisi fazlasıyla gülünç tabii.Bu Kairo filminin de Hollywood versiyonu da var.Adı Pulse.Bunun yanı sıra biraz Ju-on,biraz The ring ve biraz da Cevapsız Arama filmlerinin bir karışımı olmuş.Korkutmak yerine çok gülünç bir film D@bbe.Bunun bir sebebi de mali yetersizliktir herhalde.Kötü oyunculuklarda cabası.Hala izlemek istiyorsanız bir şey diyemem tabii. ",Negative
"metalin malzeme kalitesi ve işçilik harika , fiyatla birlikte 10 numara alışveriş ...",Positive
ürün harika sadece biraz gec ulasti,Positive
ürün kısa sürede elime ulaştı. gayet başarılı bir ürün ,Positive
biraz etrafı kirletsede işlevi güzel,Positive
bu kadar mı? hızlı kargo olur. orjinal kapalı jelatinli ürün model a1688 faturası ile birlikte daha ne olsun tavsiye edilir...,Positive
"küçük ama kaliteli bir buzdolabı arıyordum. i̇nternette gezerken bu ürünü gördüm ve açıkçası yorumlar beni ikna etti. ürün geçen hafta elime biraz geç de olsa ulaştı. i̇ç hacminin tek yaşayan veya öğrenciler için yeterli olduğunu düşünüyorum. performansı da gayet iyi.  4. derecede biraz ses yapıyordu ben de 3e düşürdüm, yine de çok güzel soğutuyor. sadece arka kısmı zaman zaman buzlanma yapıyor. onun da normal bir durum olup zamanla geçeceğini söyledi servis. bu tarz bir buzdolabı almayı düşünenlere tavsiye ederim. ",Positive
berbat bi̇r ürün aldiğima bi̇n pi̇şman oldum parcalar bi̇rbi̇ri̇ne geçmyor ,Negative
" inanılmaz sıkıcı, sıradan ve zorlama bir film. julia roberts da olmasa 3. sınıf bir film olacakmış. ",Negative
" Yeni izledim gerçekten çok iyi yapmışlar . Filmi ilk gördüğüm de en fazla sonunu merak etmiştim aynı mı diye:) Kitap harikaydı film daha da harika , oyuncu da iyi uymuş role beğendim . ",Positive
ürünün kullanımı pratik değil...  fazla ayar ve bağlanma detayı var...   ,Negative
bu fiyata göre çok iyi kaliteli ürün,Positive
 şu a.q çocuk film inin neresini seviyonuz anlamıyom ya ,Negative
 ben hayatımda bu kadar kötü film görmedim!!!!! ,Negative
beklediğimden çok çok iyi hd kalitesi tatmin edici boyutuna ve fiyatına göre oldukça başarılı. uyducu bir arkadaşım tavsiye etti. hd kanalına geçerken ayarlar menüsünden otomatik resize yapılması gerekiyor bilginize.,Positive
ürünün 32gb versiyonunu kullanıyorum. yaklaşık 2 ay önce hepsiburada.comdan aldım. isınma durumu samsung s5 ile hemen hemen aynı. anck performans olarak çok daha iyi. ayrıca 3g yok diye yorumlar yapılıyor ama 3g var ve gayet güzel çekiyor. tavsiye edilebilecek bir telefondur.,Positive
 jon fenerliler ata demirer sen çok yasa ya :) ,Negative
 arkadaşlar gözünüzü sevim paraızı boşa vermeyin hiç deymez. tabikide karar sizin kararınız. benim midem bulandı açıkçası. o kadar diyorum. ,Negative
Mouse takılma yapıyor.klavye ile ilgili herhangi bir problem yok.,Negative
anneme almıştım her ütü yapışımda valla ne iyi yaptın da aldın bu ütüyü diyor. buharı kireçlenmemesi su haznesinin aldığı su hepsi harika:),Positive
rezalet gece  gün olarak planladığımız gezimiz yönetimin yetersizliği odadaki havlu ve çarşafların pisliği yemeklerin bizim açımızdan yenemez olması sebebiyle   günün başında tur operatörümüzden rica edip otel değiştirmemizle son buldu  benim tavsiyem inova beach e tatil için gitmemeniz saygılarımla,Negative
fiyata göre gayet kaliteli bir ürün.alacaklar hiç düşünmesin.boyu da çok kısa değil bisiklet için yeterli.,Positive
evde 2 tane yavru kedım var ıkısıne de bırer tane aldım deliriyorlar bununla oynarken tek sorun kanepe altlarınız bıraz yuksekse devamlı altına kacıyor,Positive
 de niro ve scorsesenin en kötü filmi 2/10 ,Negative
"ürün 2-3 gibi çok kısa bir sürede geldi, kaliteli de bir ürün fakat ağırlıklar biraz büyük ama büyük bir sorun değil alıcaklara tavsiye ederim fiyatda gayet uygun.",Positive
Başkomutan ilelebet Mustafa Kemal Atatürk tür Pis sürtük seni ,Negative
fiyat biraz fazla diğer markalara göre ama sağlam olduğu için değer.. bundan önce başka bir marka almıştım kısa sürede koptu bunu daha elime alır almaz daha iyi olduğunu anladım tavsiye ederim.,Positive
 hektıııııııııııırrrrrrrrrr... yeter... : ) ,Positive
yazılan yorumlar ve tavsiyelerden etkilenerek satın aldım. i̇lk iki gün sorunsuz çalıştı tam iyi ki almışım diyecekken üçüncü gün çalışmamaya başladı :( farklı adaptörlerle de denememe rağmen sonuç hüsran. 2 gün kullanıp çöpe atarım derseniz alın.,Negative
 klasik bir korku filmi ama oyucuların performansı için izlenebilir. ,Negative
 SİNOPta tek sinema var ve bu filmin burada gösterime verileceğini sanmıyorum.. Üzüntümüz büyük ,Negative
 Norton ın devleştiği filmlerden... ,Positive
küçücük boyutları ve yüksek kapasite ve fiyatıyla oldukça ideal bi ürün. daha fazlasına gerek duymuyorum,Positive
"ürün 1 haftada elimize ulaştı, boyutları tahminimizden küçük çıktı, fakat sağlam bir ürün çok fazla ütü yapmıyacaklar için ideal diyebilirim, üstelik fiyatıda çok uygun.",Negative
 Dün gitti arkadaşlar ama sakın derim.. nasıl olurda 8 in üzerinde puan verildiğini anlayamadım. film 2 konu arasına gelip gidiyor. bu da konsantrasyonu koparıyor.. film bence gerçekten kötüydü.. bilinen aktörlerin oynaması sizi aldatmasın.. ctesi günü fazladan harcanacak 3 saatim varmış.. ama yazık oldu.. yanlış saçim derim.. ,Negative
"saat gerçekten beklentilerimin üzerinde çıktı ekranı gayet güzel tasarımı çok hoşuma gitti. alarm sesi yeterli düzeyde, radyo istasyonlarını digital olarak aramak güzel bir özellik. 2 tane ince kalem pil kullanmak gerekiyor üründe. herkese tavsiyemdir gönül rahatlığıyla alabilirsiniz...",Positive
 Hay sokim datca na sanki and daglarinda bi gizli bahce mk Fahis restoran otel fiyatlariyla her sene istanbullulari k ,Negative
gerçekten 1 prima=1 kuru gece,Positive
 Berbatın fransızcası Dante herhalde. (: Bir film bu kadar mı kötü olur. Senenin en kötü filmi. Seyretmek istiyorsanız Allah sabır versin size. ,Negative
